id,mutation_count,balance_id,user_id,dated_at,size,PP,description,show,created_at,updated_at
54,54,1,3,17-10-21 0:00,7,2.33,lekker zeugenbekje,1,17-12-29 23:14,17-12-29 23:14
55,55,1,4,17-10-21 0:00,25.95,5.19,Bert cookings goes mexico,1,17-12-29 23:14,17-12-29 23:14
56,56,1,1,17-10-24 0:00,6.8,6.8,pakje pukes tijdje terug,1,17-12-29 23:14,17-12-29 23:14
57,57,1,2,17-10-24 0:00,-6,-3,basic,1,17-12-29 23:14,17-12-29 23:14
58,58,1,3,17-10-24 0:00,8.8,1.47,uien kruiden knoflook,1,17-12-29 23:14,17-12-29 23:14
59,59,1,3,17-10-24 0:00,12.02,3.01,chicken tikka,1,17-12-29 23:14,17-12-29 23:14
60,60,1,3,17-10-22 0:00,6.23,3.12,gore hengel pasta,1,17-12-29 23:14,17-12-29 23:14
61,61,1,1,17-10-26 0:00,7.68,1.28,Koffie en zakjes,1,17-12-29 23:14,17-12-29 23:14
62,62,1,6,17-10-26 0:00,15.15,3.03,pasta met garnalen,1,17-12-29 23:14,17-12-29 23:14
63,63,1,5,17-10-26 0:00,3.9,0.65,statie,1,17-12-29 23:14,17-12-29 23:14
64,64,1,5,17-10-26 0:00,2.59,2.59,kalkoenfilet,1,17-12-29 23:14,17-12-29 23:14
65,65,1,5,17-10-26 0:00,9.75,1.63,zeep wc eend kwark,1,17-12-29 23:14,17-12-29 23:14
66,66,1,1,17-10-27 0:00,13.37,3.34,crunchy kip wrap,1,17-12-29 23:14,17-12-29 23:14
67,67,1,1,17-10-27 0:00,0.86,0.14,Rode uien,1,17-12-29 23:14,17-12-29 23:14
68,68,1,3,17-10-28 0:00,15.94,3.19,soort van carbo met tomatensalade,1,17-12-29 23:14,17-12-29 23:14
69,69,1,3,17-10-28 0:00,12.23,2.04,"olie, schijtlint, azijn, mierikswortel knoflook",1,17-12-29 23:14,17-12-29 23:14
70,70,1,3,17-10-28 0:00,10.36,2.59,kek uit de oven,1,17-12-29 23:14,17-12-29 23:14
71,71,1,4,17-10-27 0:00,14.01,3.5,pompoenpasta,1,17-12-29 23:14,17-12-29 23:14
72,72,1,2,17-11-01 0:00,22.72,4.54,Zalm pasta met parmigiannoo,1,17-12-29 23:14,17-12-29 23:14
73,73,1,6,17-11-01 0:00,13.1,3.28,overheerlijke belgische couscous met kip,1,17-12-29 23:14,17-12-29 23:14
74,74,1,6,17-11-01 0:00,2.89,0.48,Champions-league shampoo,1,17-12-29 23:14,17-12-29 23:14
75,75,1,3,17-11-01 0:00,3.84,0.96,extra kip voor bij die overheerlijke belgishce couscous,1,17-12-29 23:14,17-12-29 23:14
76,76,1,6,17-11-04 0:00,18.2,3.64,penne met vis met anna,1,17-12-29 23:14,17-12-29 23:14
77,77,1,6,17-11-04 0:00,9.3,9.3,kratje,1,17-12-29 23:14,17-12-29 23:14
78,78,1,6,17-11-04 0:00,3.9,0.65,statie,1,17-12-29 23:14,17-12-29 23:14
79,79,1,3,17-11-05 0:00,16.94,3.39,varkenshaas + bonen + aardappels,1,17-12-29 23:14,17-12-29 23:14
80,80,1,2,17-11-07 0:00,17.08,4.27,Kip wraps,1,17-12-29 23:14,17-12-29 23:14
81,81,1,2,17-11-07 0:00,2.39,0.4,Schijt vod,1,17-12-29 23:14,17-12-29 23:14
82,82,1,2,17-11-07 0:00,1.09,1.09,Brood,1,17-12-29 23:14,17-12-29 23:14
83,83,1,2,17-11-07 0:00,19.73,4.93,Risotto kip,1,17-12-29 23:14,17-12-29 23:14
84,84,1,2,17-11-07 0:00,1.49,1.49,Ships,1,17-12-29 23:14,17-12-29 23:14
85,85,1,3,17-11-08 0:00,5,0.83,steeksleutels,1,17-12-29 23:14,17-12-29 23:14
86,86,1,3,17-11-08 0:00,14.49,3.62,kip ragout,1,17-12-29 23:14,17-12-29 23:14
87,87,1,3,17-11-08 0:00,8.6,1.43,"boter, bouillon, uien, knoflook, mayonaise",1,17-12-29 23:14,17-12-29 23:14
88,88,1,1,17-11-12 0:00,14.27,2.38,"Wc papier, tandpasta, gele doekjes",1,17-12-29 23:14,17-12-29 23:14
89,89,1,3,17-11-11 0:00,9.19,4.6,noodlesoep,1,17-12-29 23:14,17-12-29 23:14
90,90,1,3,17-11-11 0:00,1.77,0.3,sojasaus,1,17-12-29 23:14,17-12-29 23:14
91,91,1,2,17-11-13 0:00,24.46,6.12,pesto pasta,1,17-12-29 23:14,17-12-29 23:14
92,92,1,5,17-11-13 0:00,23.05,5.76,pasta bief,1,17-12-29 23:14,17-12-29 23:14
93,93,1,5,17-11-13 0:00,9.86,1.64,douche shit,1,17-12-29 23:14,17-12-29 23:14
94,94,1,5,17-11-13 0:00,5.75,0.96,olijfolie,1,17-12-29 23:14,17-12-29 23:14
95,95,1,5,17-11-13 0:00,1.39,1.39,melk mol,1,17-12-29 23:14,17-12-29 23:14
96,96,1,5,17-11-13 0:00,6.99,1.17,koffie,1,17-12-29 23:14,17-12-29 23:14
97,97,1,5,17-11-13 0:00,50,16.67,fissa fissa,1,17-12-29 23:14,17-12-29 23:14
98,98,1,5,17-11-14 0:00,6.17,1.03,peper zout dreft,1,17-12-29 23:14,17-12-29 23:14
99,99,1,1,17-11-15 0:00,3.9,0.65,statiegeld,1,17-12-29 23:14,17-12-29 23:14
100,100,1,6,17-11-17 0:00,9.7,9.7,kratje voor bert,1,17-12-29 23:14,17-12-29 23:14
